Func Alg Verts Edges Searched_Paths Expanded_Verts
basicLine FF 74 142 30 655
basicLine FF 274 774 939 62847
basicLine FF 1058 4033 14244 1698219
dExpLine EK 8 11 3 29
dExpLine EK 22 43 1 31
dExpLine EK 74 131 6 317
dExpLine EK 274 777 157 40207
dExpLine EK 1058 3997 1679 1721400
dExpLine FF 8 11 1 11
dExpLine FF 22 43 2 36
dExpLine FF 74 131 6 193
dExpLine FF 274 777 1622 138050
dExpLine FF 1058 3997 2498671 807981405
dExpLine EK 8 8 1 11
dExpLine EK 22 34 1 30
dExpLine EK 74 146 12 700
dExpLine EK 274 773 112 27007
dExpLine EK 1058 4002 1782 1833600
dExpLine FF 8 8 1 10
dExpLine FF 22 34 4 68
dExpLine FF 74 146 21 662
dExpLine FF 274 773 1019 86316
dExpLine FF 1058 4002 2580510 845438145
dExpLine EK 8 10 1 8
dExpLine EK 22 39 5 85
dExpLine EK 74 144 6 387
dExpLine EK 274 765 162 41772
dExpLine EK 1058 4001 1681 1694861
dExpLine FF 8 10 1 7
dExpLine FF 22 39 4 48
dExpLine FF 74 144 8 270
dExpLine FF 274 765 1566 129907
dExpLine FF 1058 4001 2953480 965798754
dExpLine EK 8 10 1 10
dExpLine EK 22 38 3 61
dExpLine EK 74 139 7 417
dExpLine EK 274 776 154 36883
dExpLine EK 1058 3985 1950 1967227
dExpLine FF 8 10 1 10
dExpLine FF 22 38 3 31
dExpLine FF 74 139 8 322
dExpLine FF 274 776 2102 232461
dExpLine FF 1058 3985 3313242 1100217953
dExpLine EK 8 10 1 10
dExpLine EK 22 37 3 57
dExpLine EK 74 138 2 154
dExpLine EK 274 770 152 38213
dExpLine EK 1058 4033 1730 1746288
dExpLine FF 8 10 1 7
dExpLine FF 22 37 3 35
dExpLine FF 74 138 5 173
dExpLine FF 274 770 761 64484
dExpLine FF 1058 4033 3439322 1165668473
dExpLine EK 8 11 2 17
dExpLine EK 22 34 2 32
dExpLine EK 74 139 4 260
dExpLine EK 274 762 181 44173
dExpLine EK 1058 4015 1544 1581120
dExpLine FF 8 11 2 14
dExpLine FF 22 34 2 28
dExpLine FF 74 139 5 110
dExpLine FF 274 762 1972 174978
dExpLine FF 1058 4015 2558735 818238541
dExpLine EK 8 10 1 8
dExpLine EK 22 43 5 79
dExpLine EK 74 137 2 149
dExpLine EK 274 768 93 23428
dExpLine EK 1058 4016 1616 1633369
dExpLine FF 8 10 1 7
dExpLine FF 22 43 3 36
dExpLine FF 74 137 2 86
dExpLine FF 274 768 1678 173051
dExpLine FF 1058 4016 3085566 967651073
dExpLine EK 8 8 0 4
dExpLine EK 22 35 4 84
dExpLine EK 74 144 2 141
dExpLine EK 274 765 184 47316
dExpLine EK 1058 4013 1948 1995456
dExpLine FF 8 8 0 4
dExpLine FF 22 35 4 41
dExpLine FF 74 144 2 94
dExpLine FF 274 765 1452 127081
dExpLine FF 1058 4013 3571979 1249923312
dExpLine EK 8 9 0 4
dExpLine EK 22 41 1 28
dExpLine EK 74 144 13 776
dExpLine EK 274 767 196 48220
dExpLine EK 1058 4010 1918 1968526
dExpLine FF 8 9 0 4
dExpLine FF 22 41 3 49
dExpLine FF 74 144 25 744
dExpLine FF 274 767 1388 120934
dExpLine FF 1058 4010 3320362 1099067426
dExpLine EK 8 8 1 12
dExpLine EK 22 38 3 56
dExpLine EK 74 136 2 168
dExpLine EK 274 765 223 55612
dExpLine EK 1058 4024 1691 1723413
dExpLine FF 8 8 1 9
dExpLine FF 22 38 3 42
dExpLine FF 74 136 4 155
dExpLine FF 274 765 1251 110177
dExpLine FF 1058 4024 3208289 1091458819
dExpLine EK 8 11 1 8
dExpLine EK 22 40 2 55
dExpLine EK 74 141 9 472
dExpLine EK 274 782 193 48983
dExpLine EK 1058 4023 1501 1538970
dExpLine FF 8 11 1 8
dExpLine FF 22 40 3 49
dExpLine FF 74 141 9 206
dExpLine FF 274 782 1736 143989
dExpLine FF 1058 4023 2226211 714983217
dExpLine EK 8 6 0 3
dExpLine EK 22 37 1 25
dExpLine EK 74 136 5 314
dExpLine EK 274 761 120 30781
dExpLine EK 1058 3999 1748 1760637
dExpLine FF 8 6 0 3
dExpLine FF 22 37 1 18
dExpLine FF 74 136 5 171
dExpLine FF 274 761 1068 95623
dExpLine FF 1058 3999 3448103 1164046554
dExpLine EK 8 12 1 10
dExpLine EK 22 35 2 44
dExpLine EK 74 134 8 432
dExpLine EK 274 759 150 37540
dExpLine EK 1058 4050 1817 1863353
dExpLine FF 8 12 1 8
dExpLine FF 22 35 1 17
dExpLine FF 74 134 6 227
dExpLine FF 274 759 1641 137029
dExpLine FF 1058 4050 3124592 970543115
dExpLine EK 8 10 0 3
dExpLine EK 22 33 1 27
dExpLine EK 74 137 4 224
dExpLine EK 274 766 185 45446
dExpLine EK 1058 4019 1637 1661010
dExpLine FF 8 10 0 3
dExpLine FF 22 33 1 21
dExpLine FF 74 137 7 242
dExpLine FF 274 766 1503 143174
dExpLine FF 1058 4019 2985602 1001329895
dExpLine EK 8 11 1 9
dExpLine EK 22 40 4 71
dExpLine EK 74 137 2 145
dExpLine EK 274 765 164 40448
dExpLine EK 1058 3976 1617 1642520
dExpLine FF 8 11 1 8
dExpLine FF 22 40 5 63
dExpLine FF 74 137 3 131
dExpLine FF 274 765 955 79218
dExpLine FF 1058 3976 2623601 801558427
dExpLine EK 8 9 2 13
dExpLine EK 22 36 1 25
dExpLine EK 74 137 2 160
dExpLine EK 274 762 186 44860
dExpLine EK 1058 4028 2313 2355733
dExpLine FF 8 9 2 12
dExpLine FF 22 36 1 20
dExpLine FF 74 137 2 86
dExpLine FF 274 762 1935 163792
dExpLine FF 1058 4028 4217063 1371648572
dExpLine EK 8 12 2 18
dExpLine EK 22 35 0 7
dExpLine EK 74 141 15 850
dExpLine EK 274 770 172 44117
dExpLine EK 1058 4005 2081 2124182
dExpLine FF 8 12 2 15
dExpLine FF 22 35 0 7
dExpLine FF 74 141 18 561
dExpLine FF 274 770 980 76257
dExpLine FF 1058 4005 3671812 1203217664
dExpLine EK 8 7 0 3
dExpLine EK 22 35 1 26
dExpLine EK 74 144 7 397
dExpLine EK 274 763 182 45448
dExpLine EK 1058 4017 1460 1478241
dExpLine FF 8 7 0 3
dExpLine FF 22 35 1 19
dExpLine FF 74 144 5 171
dExpLine FF 274 763 1169 86398
dExpLine FF 1058 4017 2707283 916628832
dExpLine EK 8 8 1 10
dExpLine EK 22 38 2 47
dExpLine EK 74 134 13 750
dExpLine EK 274 749 87 22996
dExpLine EK 1058 4006 1458 1495909
dExpLine FF 8 8 1 10
dExpLine FF 22 38 2 40
dExpLine FF 74 134 18 421
dExpLine FF 274 749 877 74003
dExpLine FF 1058 4006 2427125 817577408
dExpLine EK 8 7 0 4
dExpLine EK 22 38 0 5
dExpLine EK 74 141 3 182
dExpLine EK 274 766 196 48226
dExpLine EK 1058 4023 1974 2018099
dExpLine FF 8 7 0 4
dExpLine FF 22 38 0 5
dExpLine FF 74 141 4 168
dExpLine FF 274 766 2172 234887
dExpLine FF 1058 4023 3711672 1286081639
dExpLine EK 8 9 1 10
dExpLine EK 22 39 1 29
dExpLine EK 74 140 8 522
dExpLine EK 274 756 175 42631
dExpLine EK 1058 4030 1799 1834332
dExpLine FF 8 9 1 9
dExpLine FF 22 39 1 24
dExpLine FF 74 140 8 267
dExpLine FF 274 756 2828 287838
dExpLine FF 1058 4030 2740053 909469929
dExpLine EK 8 7 0 4
dExpLine EK 22 37 3 61
dExpLine EK 74 142 6 334
dExpLine EK 274 761 150 37656
dExpLine EK 1058 4017 1703 1742345
dExpLine FF 8 7 0 4
dExpLine FF 22 37 2 25
dExpLine FF 74 142 5 154
dExpLine FF 274 761 1174 100082
dExpLine FF 1058 4017 3077469 983041280
dExpLine EK 8 9 0 4
dExpLine EK 22 37 0 6
dExpLine EK 74 142 9 556
dExpLine EK 274 782 178 43203
dExpLine EK 1058 4027 2025 2071807
dExpLine FF 8 9 0 4
dExpLine FF 22 37 0 6
dExpLine FF 74 142 11 297
dExpLine FF 274 782 1531 143956
dExpLine FF 1058 4027 3570934 1198283993
dExpLine EK 8 12 0 4
dExpLine EK 22 36 0 8
dExpLine EK 74 132 3 204
dExpLine EK 274 769 199 50817
dExpLine EK 1058 4026 1467 1475633
dExpLine FF 8 12 0 4
dExpLine FF 22 36 0 8
dExpLine FF 74 132 2 103
dExpLine FF 274 769 1929 190775
dExpLine FF 1058 4026 2636070 842352050
dExpLine EK 8 13 2 20
dExpLine EK 22 37 1 19
dExpLine EK 74 137 7 436
dExpLine EK 274 779 186 48095
dExpLine EK 1058 3996 1427 1458211
dExpLine FF 8 13 2 16
dExpLine FF 22 37 1 15
dExpLine FF 74 137 10 323
dExpLine FF 274 779 1856 178759
dExpLine FF 1058 3996 2101073 551696534
dExpLine EK 8 11 1 10
dExpLine EK 22 38 4 71
dExpLine EK 74 134 5 190
dExpLine EK 274 784 195 47752
dExpLine EK 1058 4008 1632 1668422
dExpLine FF 8 11 1 9
dExpLine FF 22 38 4 46
dExpLine FF 74 134 4 85
dExpLine FF 274 784 1302 115899
dExpLine FF 1058 4008 3032717 999208694
dExpLine EK 8 11 0 3
dExpLine EK 22 37 5 94
dExpLine EK 74 143 6 343
dExpLine EK 274 781 183 46856
dExpLine EK 1058 4022 1835 1863630
dExpLine FF 8 11 0 3
dExpLine FF 22 37 4 46
dExpLine FF 74 143 6 219
dExpLine FF 274 781 3154 293478
dExpLine FF 1058 4022 3029179 972832110
dExpLine EK 8 10 1 10
dExpLine EK 22 36 0 10
dExpLine EK 74 146 7 394
dExpLine EK 274 770 154 38047
dExpLine EK 1058 3992 1277 1301969
dExpLine FF 8 10 1 10
dExpLine FF 22 36 0 10
dExpLine FF 74 146 11 354
dExpLine FF 274 770 2399 213815
dExpLine FF 1058 3992 1968615 653000429
dExpLine EK 8 9 0 4
dExpLine EK 22 36 3 52
dExpLine EK 74 134 0 53
dExpLine EK 274 763 175 43458
dExpLine EK 1058 3976 1467 1498567
dExpLine FF 8 9 0 4
dExpLine FF 22 36 4 42
dExpLine FF 74 134 0 53
dExpLine FF 274 763 2275 213925
dExpLine FF 1058 3976 2023626 625856118
dExpLine EK 8 9 0 3
dExpLine EK 22 40 2 54
dExpLine EK 74 137 9 544
